RowNumber,QueryTimeInSeconds
1,0.110000
2,0.108000
3,0.110000
4,0.110000
5,0.115000
6,0.112000
7,0.112000
8,0.117000
9,0.107000
10,0.109000
11,0.112000
12,0.111000
13,0.117000
14,0.112000
15,0.113000
16,0.117000
17,0.116000
18,0.117000
19,0.121000
20,0.117000
21,0.122000
22,0.122000
23,0.130000
24,0.153000
25,0.144000
26,0.144000
27,0.142000
28,0.140000
29,0.129000
30,0.142000
31,0.144000
32,0.153000
33,0.148000
34,0.149000
35,0.150000
36,0.150000
37,0.149000
38,0.171000
39,0.174000
40,0.149000
41,0.172000
42,0.142000
43,0.145000
44,0.144000
45,0.154000
46,0.145000
47,0.146000
48,0.165000
49,0.150000
50,0.150000
51,0.152000
52,0.154000
53,0.153000
54,0.156000
55,0.157000
56,0.180000
57,0.181000
58,0.174000
59,0.170000
60,0.173000
61,0.173000
62,0.181000
63,0.174000
64,0.168000
65,0.165000
66,0.188000
67,0.182000
68,0.187000
69,0.207000
70,0.198000
71,0.172000
72,0.172000
73,0.186000
74,0.174000
75,0.175000
76,0.176000
77,0.178000
78,0.203000
79,0.195000
80,0.194000
81,0.195000
82,0.198000
83,0.197000
84,0.198000
85,0.185000
86,0.186000
87,0.187000
88,0.187000
89,0.190000
90,0.191000
91,0.196000
92,0.206000
93,0.207000
94,0.209000
95,0.209000
96,0.212000
97,0.211000
98,0.198000
99,0.198000
100,0.203000
