RowNumber,UpdateTimeInSeconds
1,2.513000
2,2.512000
3,2.527000
4,2.641000
5,2.749000
6,2.369000
7,2.341000
8,2.409000
9,2.583000
10,2.431000
11,2.534000
12,2.453000
13,2.574000
14,2.503000
15,2.589000
16,2.584000
17,2.558000
18,2.687000
19,2.647000
20,2.653000
21,2.743000
22,2.686000
23,2.739000
24,2.774000
25,2.825000
26,2.813000
27,2.877000
28,2.800000
29,2.865000
30,2.942000
31,2.905000
32,2.936000
33,3.012000
34,2.978000
35,3.005000
36,3.046000
37,3.025000
38,3.041000
39,3.122000
40,3.117000
41,3.168000
42,3.199000
43,3.188000
44,3.222000
45,3.207000
46,3.259000
47,3.307000
48,3.733000
49,3.184000
50,3.430000
51,3.479000
52,3.427000
53,3.467000
54,3.535000
55,3.634000
56,3.583000
57,3.584000
58,3.655000
59,3.664000
60,3.695000
61,3.688000
62,3.706000
63,3.757000
64,3.706000
65,3.735000
66,3.746000
67,3.774000
68,3.749000
69,3.840000
70,3.884000
71,3.855000
72,3.859000
73,3.876000
74,3.913000
75,3.917000
76,3.939000
77,3.940000
78,3.970000
79,4.002000
80,4.052000
81,4.165000
82,4.056000
83,4.091000
84,4.147000
85,4.139000
86,4.089000
87,4.172000
88,4.188000
89,4.252000
90,4.228000
91,4.205000
92,4.255000
93,4.328000
94,4.341000
95,4.312000
96,4.367000
97,4.409000
98,4.486000
99,4.393000
100,4.464000
